Id, Name, Lat, Long, Betweenness, Closeness, Katz, Pagerank
27, Karlsfeld, 0.35735009671179896, 0.26816239316239315, 0.11343791623501553, 0.07821416582745888, 0.0642375041328857,0.004000549137938958
28, Dachau, 0.3363958736299163, 0.25961538461538464, 0.10714814266686398, 0.07315541601255887, 0.07012910130677315,0.00586417621107326
29, Hebertshausen, 0.2638620245003225, 0.23824786324786323, 0.02552908095308569, 0.06830841395485195, 0.06422924887897086,0.004210228687630097
30, Rohrmoos, 0.19938749194068361, 0.23824786324786323, 0.017093384638153027, 0.06402857928002198, 0.06357492529344247,0.004488708689042774
31, Virkirchen-Esterhofen, 0.14297227595099937, 0.23824786324786323, 0.008583690987124463, 0.06022227965882657, 0.0629315392151978,0.004843397859306588
32, Petershausen, 0.08333333333333337, 0.23824786324786323, 0.0, 0.056815410875396245, 0.05715200065882245,0.0026993587688677106
33, Dachau Stadt, 0.3170535138620246, 0.21153846153846154, 0.06659760248631048, 0.06850926198177007, 0.06423580207189997,0.004078291376946327
34, Bachern, 0.3170535138620246, 0.16880341880341881, 0.05853189285185733, 0.06438242608455375, 0.06364045758179707,0.004179225068887646
35, Schwabhausen, 0.28320438426821415, 0.14743589743589744, 0.05039218588130827, 0.060692888773118, 0.06358030960207224,0.004245311330280052
36, Niederroth, 0.2590264345583496, 0.14743589743589744, 0.04217848157466331, 0.057375030780595915, 0.0635741733855706,0.004303568856272037
37, Markt Indersdorf, 0.23646034816247596, 0.14743589743589744, 0.03389077993192245, 0.0543757292882147, 0.06357295840026955,0.004369740354925809
38, Arnbach, 0.2155061250805933, 0.14743589743589744, 0.02552908095308569, 0.051651518510308136, 0.06356694442961792,0.004473024980983306
39, Erdweg, 0.19132817537072866, 0.14743589743589744, 0.017093384638153027, 0.04916649082084828, 0.06350801925270749,0.004643118338003006
40, Kleinberghofen, 0.16715022566086402, 0.14743589743589744, 0.008583690987124463, 0.04689072247937211, 0.06292478115418766,0.0049475241127547925
41, Altomunster, 0.14297227595099937, 0.14743589743589744, 0.0, 0.04479907710055758, 0.057151324895798876,0.0027428488729525063
42, Messestadt Ost, 0.48146357188910394, 0.9134615384615384, 0.0, 0.06578204404291361, 0.05716564866342702,0.0025829205360881303
43, Messestadt West, 0.48146357188910394, 0.8846153846153846, 0.008583690987124463, 0.07039274924471299, 0.06306802523817528,0.004569893940671308
44, Moosfeld, 0.49274661508704076, 0.8632478632478633, 0.017093384638153027, 0.07564935064935065, 0.06492615385091426,0.004077232629283916
45, Trudering, 0.5298194713088331, 0.844017094017094, 0.1084060973804943, 0.08169705469845723, 0.07760509051945848,0.007032607298457964
46, Kreillerstr., 0.5507736943907158, 0.8258547008547008, 0.01253021557890582, 0.08155407770388519, 0.06515593636274174,0.0036520989784039537
47, Josephsburg, 0.5733397807865894, 0.813034188034188, 0.018597997138769678, 0.08652060898626067, 0.0653658896164284,0.0035690119246459245
48, Innsbrucker Ring, 0.5894584139264991, 0.7745726495726496, 0.05847228388666896, 0.09308829404714343, 0.07991462510500648,0.006474106935111798
49, Karl-Preis-Platz, 0.5894584139264991, 0.7403846153846154, 0.010883774850772042, 0.08713537771129394, 0.06726521048806401,0.0033967118692664446
50, Giesing, 0.5894584139264991, 0.7083333333333334, 0.18119275483860367, 0.0915880503144654, 0.08414920927974598,0.008118676971312954
51, Untersbergstr., 0.5894584139264991, 0.6762820512820513, 0.11717889267097491, 0.09279171644763043, 0.0657201826637104,0.0035930429358951837
